NID	CHN	ETCM	TCMID	SYM	TCMSP	PINYIN	LATIN	TYPE	FAMILY_CHN	FAMILY_ENG	Specifications	Property_CHN	Property_Eng	Flavor_CHN	Flavor_ENG	Meridian_Tropism_CHN	Meridian_Tropism_ENG	Indication_CHN	Indication_ENG	English_Name	Class_Chinese	UsePart	Syndromes	itcm
2933	东方钩藤		TCMID_H_1829			DONG FANG GOU TENG	Uncaria orientalis	Plant medicine	茜草科	Rubiaceae														itcm_h_2933
2934			TCMID_H_1962			HAI TUN YU	Delphinus delphis	unknown										解毒，生肌，止痛。	To resolve toxin, engender flesh, settle pain.			meat or fat	Tinea capitis, sore and boil, hemorrhoids and fistulas, burns and scalds, miasmic malaria, tympanites.	itcm_h_2934
2935			TCMID_H_1067			CHUN HE QING HUA		unknown																itcm_h_2935
2936			TCMID_H_7304			LANG DU DA JI	Euphorbia fischeriana	Plant medicine	大戟科	Euphorbiaceae								详见Euphorbia ebracteolata .	See Euphorbia ebracteolata .			root	See  Euphorbia ebracteolata .	itcm_h_2936
2937			TCMID_H_7279			HAI YANG DA JI	Euphorbia paralias	Plant medicine	大戟科	Euphorbiaceae														itcm_h_2937
2938	美丽番红花		TCMID_H_6397			MEI LI FAN HONG HUA	Crocus speciosus	Plant medicine	鸢尾科	Iridaceae														itcm_h_2938
2939	南川鹭鸶草		TCMID_H_5543			NAN CHUAN LU SI CAO	Diuranthera inarticulata	Plant medicine	天门冬科	Asparagaceae														itcm_h_2939
2940	狭苞橐吾		TCMID_H_6437			XIA BAO TUO WU	Ligularia intermedia	Plant medicine	菊科	Asteraceae								详见 Ligularia fischeri.	See  Ligularia fischeri.			root and rhizome	See Ligularia fischeri.	itcm_h_2940
2941			TCMID_H_5636			NIU WEI CAO XIANG CHA CAI	Isodon ternifolia	Plant medicine	唇形科	Lamiaceae								清热、祛湿、解毒、止血。	To clear heat, disinhibit damp, resolve toxin, stanch bleeding.			whole herb or root	Common cold, influenza, cough with profuse phlegm, swelling pain in throat, toothache, jaundice, heat strangury, edema, dysentery, enteritis, bleeding due to external injury.	itcm_h_2941
2942			TCMID_H_3143			LAN YU LUO YE RONG.	Ficus ruficaulis var. antaoensis	Plant medicine	桑科	Moraceae														itcm_h_2942
2943			TCMID_H_1830			DUAN YE HONG DOU SHAN	Taxus brevifolia	Plant medicine	红豆杉科	Taxaceae														itcm_h_2943
2944			TCMID_H_2052			MAO XU CAO	Clerodendranthus spicatus	Plant medicine	唇形科	Lamiaceae								清热祛湿，除石除水。	To clear heat and dispel damp, expel stone and disinhibit water.			whole herb	Acute nephritis, chronic nephritis, cystitis, urethral stone, rheumatic arthritis.	itcm_h_2944
2945			TCMID_H_7844			JING SHENG HUA AI SUO LUO NA.	Isolona cauliflora	Plant medicine	番荔枝科	Annonaceae														itcm_h_2945
2946	锈毛野桐		TCMID_H_3382			XIU MAO YE TONG	Mallotus anomalus	Plant medicine	大戟科	Euphorbiaceae														itcm_h_2946
2947			TCMID_H_4743			TENG SHI SONG.	Lycopodium casuarinoides	Plant medicine	石松科	Lycopodiaceae								祛风祛湿，舒筋活血，明目解毒。	To dispel wind and eliminate damp, soothe sinews and quicken blood, brighten eyes, resolve toxin.			whole herb	Wind-damp impediment pain, taxation damage in lumbar muscle, knocks and falls, menstrual disorder, night sweating, conjunctivitis, night blindness, burns and scalds, toxin swelling of sores.	itcm_h_2947
2948			TCMID_H_4512			XIAO BO SI SHI SUAN	Ungernia minor	Plant medicine	石蒜科	Amaryllidaceae														itcm_h_2948
2949			TCMID_H_5592			SHUI YANG ZHI YE		unknown																itcm_h_2949
2950			TCMID_H_1859			YU YE MAO MEI	Rubus ulmifolius	Plant medicine	蔷薇科	Rosaceae														itcm_h_2950
2951			TCMID_H_3982			KU LI		unknown																itcm_h_2951
2952			TCMID_H_2376			QIU MU GUA	Chaenomeles lagenaria [Syn. Chaenomeles speciosa]	Plant medicine	蔷薇科	Rosaceae								疏通筋脉，活络血管，调和胃部，化湿。	To soothe sinews and quicken network vessels, harmonize stomach and transform damp.			fruit	Wind-damp impediment pain, aching and weightiness of limbs, hypertonicity of sinews and vessels, vomiting and diarrhea with cramp, beriberi.	itcm_h_2952
2953	五月茶		TCMID_H_7714			WU YUE CHA	Antidesma bunius	Plant medicine	叶下珠科	Phyllanthaceae								健脾生液，活血解毒。	To fortify spleen, engender liquid, quicken blood, resolve toxin.			root, leaf and fruit	Reduced food intake and diarrhea, fluid damage and thirst, knocks and falls, swelling toxin of welling abscess and sore.	itcm_h_2953
2954			TCMID_H_7084			MO LI YU TENG	Derris mollis	Plant medicine	豆科	Fabaceae														itcm_h_2954
2955	宽叶乌檀		TCMID_H_3357			KUAN YE WU TAN	Nauclea latifolia	Plant medicine	茜草科	Rubiaceae														itcm_h_2955
2956	白木乌桕		TCMID_H_3735			BAI MU WU JIU	Sapium japonicum	Plant medicine	大戟科	Euphorbiaceae								活血化瘀，固腰固膝。	To dissipate stasis blood, strengthen lumbus and knees.			root cortex and leaf	Taxation damage, aching in lumbus and knees.	itcm_h_2956
2957			TCMID_H_5419			OU MI		unknown																itcm_h_2957
2958			TCMID_H_2961			MI SUI HUA SHE BIAM JU		unknown																itcm_h_2958
2959			TCMID_H_2653			GUAN YE LIANG QIAO		unknown																itcm_h_2959
2960	大麻槿		TCMID_H_1270			DA MA JIN	Hibiscus cannabinus	Plant medicine	锦葵科	Malvaceae														itcm_h_2960
2961			TCMID_H_3509			MAO SHU	Dioscorea alata	Plant medicine	薯蓣科	Dioscoreaceae								健脾止泻，润肺补肾，解毒止痛。	To fortify spleen and check diarrhea, nourish lung and enrich kidney, resolve toxin and close sores.			rhizome	Spleen vacuity diarrhea, kidney vacuity and emission, vaginal discharge, frequent urination, vacuity taxation cough, diabetes mellitus, ulcerating sores, burns and scalds.	itcm_h_2961
2962	还阳麦叶糖芥		TCMID_H_8045			HUAN YANG SHEN YE TANG JIE	Erysimum crepidifolium	Plant medicine	十字花科	Brassicaceae														itcm_h_2962
2963			TCMID_H_7508			YI BI LI YA LI	Quercus iberica	Plant medicine	壳斗科	Fagaceae														itcm_h_2963
2964	天胡荽		TCMID_H_5785			TIAN HU SUI	Hydrocotyle sibthorpioides	Plant medicine	五加科	Araliaceae								清热利湿，解毒消肿。	To clear heat and disinhibit damp, resolve toxin and disperse swelling.			whole herb	Jaundice, dysentery, edema, strangury, eye screen, throat swelling, swelling toxin of welling abscess and sore, zoster, knocks and falls.	itcm_h_2964
2965	藏红花水芹		TCMID_H_7461			ZANG HONG HUA SE SHUI QIN	Oenanthe crocata	Plant medicine	伞形科	Apiaceae														itcm_h_2965
2966	及己		TCMID_H_1751			JI JI	Chloranthus serratus	Plant medicine	金粟兰科	Chloranthaceae								活血化瘀，祛风止痛，解毒杀虫。	To quicken blood and dissipate stasis, dispel wind and relieve pain, resolve toxin and kill worms.			root	Knocks and falls, fracture, amenorrhea, wind-damp impediment pain, clove boil, scab and lichen, itchy skin, poisonous snake bite.	itcm_h_2966
2967			TCMID_H_7916			BIE ZHI LIU LI CAO		unknown																itcm_h_2967
2968			TCMID_H_4394			MANG QI GU	Dicranopteris pedata	Plant medicine	里白科	Gleicheniaceae								化瘀止血，清热利尿，解毒消肿。	To transform stasis and stanch bleeding, clear heat and disinhibit urine, resolve toxin and disperse swelling.			yang  leaf with petiole	Flooding, wound swelling from knocks and falls, bleeding due to external injury, damp-heat strangury pain, leukorrhea, infant diarrhea, hemorrhoids and fistulas, red eyes with gall, burns and scalds, poisonous insect stings.	itcm_h_2968
2969	金钱蒲		TCMID_H_4594			JIN QIAN PU	Acorus gramineus	Plant medicine	菖蒲科	Acoraceae								详见 Acorus tatarinowii .	See  Acorus tatarinowii .			Rhizome	See  Acorus tatarinowii .	itcm_h_2969
2970			TCMID_H_4001			DA YE MAO ZHU MU	Mitragyna macrophylla	Plant medicine	茜草科	Rubiaceae														itcm_h_2970
2971	牙克贝千里光		TCMID_H_6270			YA KE BEI QIAN LI GUANG	Senecio alpinus	Plant medicine	菊科	Asteraceae														itcm_h_2971
2972	豌豆		TCMID_H_3846			WAN DOU	Pisum sativum	Plant medicine	豆科	Fabaceae								调和中枢，理气，解乳，除水，解毒。	To harmonize center and precipitate  qi,   free milk and disinhibit water, resolve toxin.			seed	Cholera cramp, beriberi with edema,   diabetes mellitus, vomiting of sour matter, abdominal distention and diarrhea, scant breast milk, swollen welling abscess.	itcm_h_2972
2973	湖北黄精		TCMID_H_2258			HU BEI HUANG JING	Polygonatum zanlanscianense	Plant medicine	天门冬科	Asparagaceae														itcm_h_2973
2974	构树		TCMID_H_2864			GOU SHU GEN	Broussonetia papyrifera	Plant medicine	桑科	Moraceae								凉血化瘀，清热利湿。	To cool blood and dissipate stasis, clear heat and disinhibit damp.			tender root or root cortex	Cough with blood ejection, flooding and spotting [= metrorrhagia and metrostaxis], edema, knocks and falls.	itcm_h_2974
2975			TCMID_H_968			ZHONG JIAN HE SHI	Lappula intermedia	Plant medicine	紫草科	Boraginaceae														itcm_h_2975
2976	仪花		TCMID_H_1605			YI HUA	Lysidice rhodostegia	Plant medicine	豆科	Fabaceae								活血止痛，消肿止血。	To quicken blood and relieve pain, disperse swelling and stanch bleeding.			root	Knocks and falls, fracture, wind-damp impediment pain, bleeding due to external injury.	itcm_h_2976
2977			TCMID_H_4886			MU GUI		unknown																itcm_h_2977
2978	萝藦		TCMID_H_1011			LUO MO ZI	Metaplexis japonica	Plant medicine	夹竹桃科	Apocynaceae								补肾益精，生肉止血。	To supplement kidney and boost essence,  engender flesh and stanch bleeding.			seed	Vacuity taxation, impotence, emission, incised wound and bleeding.	itcm_h_2978
2979			TCMID_H_4385			CHANG YE MAN MI PING GUO	Mammea longifolia	Plant medicine	红厚壳科	Calophyllaceae														itcm_h_2979
2980	黔岭淫羊藿		TCMID_H_951			QIAN LING YIN YANG HUO	Epimedium leptorrhizum	Plant medicine	小檗科	Berberidaceae														itcm_h_2980
2981	鹰爪豆		TCMID_H_3408			YING ZHAO DOU	Spartium junceum	Plant medicine	豆科	Fabaceae														itcm_h_2981
2982	欧洲油菜		TCMID_H_1570			OW ZHOU YOU CAI	Brassica napus	Plant medicine	十字花科	Brassicaceae														itcm_h_2982
2983	台湾果松		TCMID_H_3302			TAI WAN GUO SONG	Pinus armandii var. mastersiana	Plant medicine	松科	Pinaceae														itcm_h_2983
2984	短叶龙胆		TCMID_H_6630			DUAN YE LONG DAN	Gentiana brachyphylla	Plant medicine	龙胆科	Gentianaceae														itcm_h_2984
2985	蓼实		TCMID_H_5722			SHUI LIAO	Polygonum hydropiper	Plant medicine	蓼科	Polygonaceae								行瘀化湿，止血化瘀，祛风止痒，解毒。	To move stagnation and transform damp, stanch bleeding and dissipate stasis, dispel wind and relieve itch, resolve toxin.			herb	Damp-stagnation obstructing internally, diarrhea, dysentery, enteritis, child  gan  accumulation, flooding and spotting, amenorrhea due to blood stasis, dysmenorrhea, knocks and falls, wind-damp impediment pain, hematochezia, bleeding due to external injury, itchy skin, eczema, wind papules, foot lichen, swollen welling abscess, poisonous snake bite.	itcm_h_2985
2986	钝叶车轴草		TCMID_H_4927			DUN YE CHE ZHOU CAO	Trifolium dubium	Plant medicine	豆科	Fabaceae														itcm_h_2986
2987			TCMID_H_5601			BING YE SUO LUO.	Yathea podophylla	unknown																itcm_h_2987
2988	台湾唐松草		TCMID_H_3044			TAI WAN TANG SONG CAO	Thalictrum urbainii	Plant medicine	毛茛科	Ranunculaceae														itcm_h_2988
2989	链珠藤		TCMID_H_3461			LIAN ZHU TENG	Alyxia sinensis	Plant medicine	夹竹桃科	Apocynaceae								祛风除湿，活血止痛。	To dispel wind and eliminate damp, quicken blood and relieve pain.			whole herb with root	Wind-damp impediment pain, blood stasis and menstrual block, stomachache, diarrhea, knocks and falls, damp beriberi.	itcm_h_2989
2990			TCMID_H_6679			HONG DU HUO	Heracleum granatense	Plant medicine	伞形科	Apiaceae														itcm_h_2990
2991			TCMID_H_3754			SHUANG ZHONG ZI SHU LI	Rhamnus disperma	Plant medicine	鼠李科	Rhamnaceae														itcm_h_2991
2992			TCMID_H_7175			SHAN WO JU	Lactuca indica	Plant medicine	菊科	Asteraceae								清热解毒，活血止血。	To clear heat and resolve toxin, quicken blood and stanch bleeding.			whole herb or root	Swelling pain in throat, intestinal welling abscess, swelling pain of sore and boil, postpartum blood stasis abdominal pain, wart, flooding and spotting, bleeding from hemorrhoids.	itcm_h_2992
2993	台湾安息香		TCMID_H_3097			TAI WAN AN XI XIANG	Styrax formosanus	Plant medicine	安息香科	Styracaceae														itcm_h_2993
2994	下延古当归		TCMID_H_3265			XIA YAN GU DANG GUI	Archangelica decurrens	Plant medicine	伞形科	Apiaceae								祛风散斑。	To dispel wind and disperse macula.			root	White patch wind.	itcm_h_2994
2995	几内亚斑鸠菊		TCMID_H_6147			JI NEI YA BAN JIU JU	Vernonia guineensis	Plant medicine	菊科	Asteraceae														itcm_h_2995
2996	牛肾		TCMID_H_2618			NIU SHEN	Bos taurus domesticus, Bubalus bubalis	animal medicine(including insect)										补肾益精，强腰强膝，止痹止痛。	To supplement kidney and boost essence, strengthen lumbus and knees, relieve pain due to impediment.			kidney	Vacuity taxation with kidney depletion, impotence, limp aching lumbus and knees, damp impediment pain.	itcm_h_2996
2997			TCMID_H_1977			LUE DA AO DING ZAO	Laurencia majuscula	unknown																itcm_h_2997
2998			TCMID_H_1995			NAN FANG OU LIU LI CAO		unknown																itcm_h_2998
2999	乌蕨		TCMID_H_6891			DA YE JIN HUA CAO	Stenoloma chusanum	Plant medicine	鳞始蕨科	Lindsaeaceae								清热解毒，祛湿止血。	To clear heat and resolve toxin, disinhibit damp, stanch bleeding.			whole herb or rhizome	Common cold with fever, cough, swelling pain in throat, enteritis, dysentery, hepatitis, damp-heat vaginal discharge, swelling toxin of welling abscess and sore, epidemic parotitis, mouth sore, burns and scalds, poisonous snake and rabid dog bite, eczema of skin, blood ejection, hematuria, hematochezia, bleeding due to external injury.	itcm_h_2999
3000	高泽兰		TCMID_H_5499			GAO ZE LAN	Eupatorium altissimum	Plant medicine	菊科	Asteraceae														itcm_h_3000
3001			TCMID_H_5056			NAN FANG OU SHI NAN	Erica australis	Plant medicine	杜鹃花科	Ericaceae														itcm_h_3001
3002	粗皮山核桃		TCMID_H_4533			CU PI SHAN HE TAO	Carya ovata	Plant medicine	胡桃科	Juglandaceae														itcm_h_3002
3003	黎檬		TCMID_H_2250			LI MENG PI	Citrus limonia	Plant medicine	芸香科	Rutaceae								详见Citrus limon.	See Citrus limon.			pericarp	See  Citrus limon.	itcm_h_3003
3004			TCMID_H_6868			LIU LI JU	Borago officinalis	Plant medicine	紫草科	Boraginaceae														itcm_h_3004
3005			TCMID_H_7016			MA SHAN QIAN HU	Peucedanum mashanens	Plant medicine	伞形科	Apiaceae														itcm_h_3005
3006			TCMID_H_7040			XIONG RUI ZHUANG SHU WEI CAO	Salvia staminea	Plant medicine	唇形科	Lamiaceae														itcm_h_3006
3007	阔叶骨碎补		TCMID_H_5407			KUO YE GU SUI BU	Davallia solida	Plant medicine	骨碎补科	Davalliaceae														itcm_h_3007
3008			TCMID_H_5315			XIAO HUA SHA ZHEN	Osyris tenuifolia	Plant medicine	檀香科	Santalaceae														itcm_h_3008
3009			TCMID_H_4731			XIANG HUANG LIAN MU	Pistacia lentiscus	Plant medicine	漆树科	Anacardiaceae														itcm_h_3009
3010	三桠乌药		TCMID_H_1492			SAN ZUAN FENG	Lindera obtusiloba	Plant medicine	樟科	Lauraceae								温心行气，活血化瘀。	To warm center and move qi ,  quicken blood and dissipate stasis.			bark	Pain in heart and abdomen, knocks and falls, blood stasis swelling and pain, sore toxin.	itcm_h_3010
3011	果香菊		TCMID_H_8144			GAO GUI CHUN HUANG JU	Anthemis nobilis	Plant medicine	菊科	Asteraceae														itcm_h_3011
3012			TCMID_H_7701			CU SHENG HUA DUO GUO SHU.	Pleiocarpa pycnantha var. tubicina	Plant medicine	夹竹桃科	Apocynaceae														itcm_h_3012
3013	芜菁甘蓝子		TCMID_H_3156			WU JING GAN LAN	Brassica napus var. napobrassica	Plant medicine	十字花科	Brassicaceae														itcm_h_3013
3014	大叶仙茅		TCMID_H_5398			DA YE XIAN MAO	Curculigo capitulata [Syn. Leucojum capitulata]	Plant medicine	仙茅科	Hypoxidaceae								补肾壮阳，祛风除湿，活血调经。	To supplement kidney and invigorate  yang , dispel wind and eliminate damp, quicken blood and regulate menstruation.			rhizome	Kidney vacuity cough asthma, impotence and emission, white turbidity vaginal discharge, limp aching lumbus and knees, wind-damp impediment pain, infertility due to uterus cold, menstrual disorder, flooding and spotting, prolapse of uterus, knocks and falls.	itcm_h_3014
3015	美丽叶灰毛豆		TCMID_H_960			MEI LI YE HUI MAO DOU	Tephrosia calophylla	Plant medicine	豆科	Fabaceae														itcm_h_3015
3016			TCMID_H_7476			JI RUAN RONG TAI.	Trichocolea mollissima	Plant medicine	绒苔科	Trichocoleaceae														itcm_h_3016
3017			TCMID_H_6139			CI TIAN QIE	Solanum khasianum	Plant medicine	茄科	Solanaceae								祛风止痛，清热解毒。	To expel wind and relieve pain, clear heat and resolve toxin.			fruit	Wind-damp pain, bleeding due to external injury, nervous headache, stomachache, toothache, mastitis, epidemic parotitis.	itcm_h_3017
3018	近无柄金丝桃		TCMID_H_7335			JI WU BING JIN SI TAO	Hypericum subsessile	Plant medicine	金丝桃科	Hypericaceae														itcm_h_3018
3019	蝎尾菊		TCMID_H_1727			XIE WEI JU	Koelpinia linearis	Plant medicine	菊科	Asteraceae														itcm_h_3019
3020	老鼠簕		TCMID_H_3403			LAO SHU LE	Acanthus ilicifolius	Plant medicine	爵床科	Acanthaceae								清热解毒，化痰祛湿，化瘀止痛。	To clear heat and resolve toxin, transform phlegm and disinhibit damp, dissipate stasis and relieve pain.			root or branch-leaf	Mumps, scrofula, liver spleen enlargement, stomachache, taxation damage in lumbar muscle, phlegm-heat cough asthma, jaundice, white turbidity, acute hepatitis, chronic hepatitis.	itcm_h_3020
3021			TCMID_H_7245			LENG SHUI GAN		unknown																itcm_h_3021
3022	十大功劳		TCMID_H_6357			XI YE GONG LAO YE	Mahonia fortunei	Plant medicine	小檗科	Berberidaceae								详见 Mahonia bealei.	See  Mahonia bealei.			leaf	See  Mahonia bealei.	itcm_h_3022
3023	麻牛膝		TCMID_H_5280			MA NIU XI	Cyathula capitata	Plant medicine	苋科	Amaranthaceae								祛风湿，祛瘀散瘀。	To dispel wind-damp, expel stasis blood.			root	Wind-cold-damp impediment, pain in lumbus and knees, amenorrhea due to blood stasis, postpartum persistent flow of lochia.	itcm_h_3023
3024	月桂小檗		TCMID_H_3798			YUE GUI XIAO BO	Berberis laurina	Plant medicine	小檗科	Berberidaceae														itcm_h_3024
3025			TCMID_H_7570			CANG BAI FEN TENG	Cissus pallida	Plant medicine	葡萄科	Vitaceae														itcm_h_3025
3026			TCMID_H_7326			DUAN SHU	Tilia vulgaris	Plant medicine	锦葵科	Malvaceae														itcm_h_3026
3027			TCMID_H_1845			XIN YUE XING YE CAO SU.	Phlomis lunariifolia	Plant medicine	唇形科	Lamiaceae														itcm_h_3027
3028			TCMID_H_6561			HA SHI SHAN GENG CAI	Lobelia hassleri	Plant medicine	桔梗科	Campanulaceae														itcm_h_3028
3029			TCMID_H_5294			CU YING MAO XIAN KONG JUN.	Inonotus hispidus	unknown																itcm_h_3029
3030	蒙古绣线菊		TCMID_H_6977			MENG GU XIU XIAN JU	Spiraea mongolica	Plant medicine	蔷薇科	Rosaceae														itcm_h_3030
3031			TCMID_H_5437			OU YA QI	Acer pseudoplatanus	Plant medicine	无患子科	Sapindaceae														itcm_h_3031
3032			TCMID_H_3158			XI FEI YANG JIAO AO	Strophanthus sarmentosus var. senegambiae	Plant medicine	夹竹桃科	Apocynaceae														itcm_h_3032
3033			TCMID_H_3269			HAI BIN LUO FU MU	Rauwolfia littoralis	unknown																itcm_h_3033
3034	熊耳草		TCMID_H_2495			XIONG ER CAO	Ageratum houstonianum	Plant medicine	菊科	Asteraceae														itcm_h_3034
3035			TCMID_H_4595			AI SHENG BO LAN DI.	Berlandiera pumila	Plant medicine	菊科	Asteraceae														itcm_h_3035
3036	苞片矢车菊		TCMID_H_1102			BAO PIAN SHI CHE JU	Centaurea bracteata	Plant medicine	菊科	Asteraceae														itcm_h_3036
3037			TCMID_H_1627			ZA XING TANG SONG CAO	Thalictrum polygamum	Plant medicine	毛茛科	Ranunculaceae														itcm_h_3037
3038	埃及种植鸢尾		TCMID_H_7666			AI JI ZHONG ZHI YUAN WEI	Iris carthaliniae	Plant medicine	鸢尾科	Iridaceae														itcm_h_3038
3039			TCMID_H_1358			WEN ZHU	Asparagus setaceus [Syn. Asparagus plumosus]	Plant medicine	天门冬科	Asparagaceae								凉血解毒，排尿通畅。	To cool blood and resolve toxin, disinhibit urine and free strangury.			tuberoid or whole herb	Yin vacuity lung dryness, cough, hemoptysis, dribbling urination.	itcm_h_3039
3040	耳状报春花		TCMID_H_8083			ER ZHUANG BAO CHUN HUA	Primula auricula	Plant medicine	报春花科	Primulaceae														itcm_h_3040
3041			TCMID_H_5819			JIAN YING CHAI HU	Bupleurum rigidum	Plant medicine	伞形科	Apiaceae														itcm_h_3041
3042			TCMID_H_1433			SHAN QIAN HU	Peucedanum oreoselinum	Plant medicine	伞形科	Apiaceae														itcm_h_3042
3043	椭圆米仔兰		TCMID_H_7168			TUE YUAN MI ZI LAN	Aglaia elliptica	Plant medicine	楝科	Meliaceae														itcm_h_3043
3044	原蚕沙		TCMID_H_5600			YUAN CAN SHA	Bombyx mori	animal medicine(including insect)										祛风祛湿，调和胃浊，活血通经。	To dispel wind and eliminate damp, harmonize stomach and transform turbidity, quicken blood and free menstruation.			silkworm dried feces	Wind-damp impediment pain, paralysis, wind papule itching, vomiting and diarrhea with cramp, amenorrhea, flooding and spotting.	itcm_h_3044
3045	栗色鼠尾草		TCMID_H_8098			LI SE SHU WEI CAO	Salvia castanea	Plant medicine	唇形科	Lamiaceae														itcm_h_3045
3046	头状花耳草		TCMID_H_983			XIAO TOU LIANG HOU CHA	Hedyotis capitellata	Plant medicine	茜草科	Rubiaceae								散寒阻疟，养血通络。	To dissipate cold and interrupt malaria, nourish blood and free network vessels.			whole herb	Wind-cold common cold, malaria, menstrual disorder, postpartum galactostasis, dry cough, lacquer sore, fracture with damage.	itcm_h_3046
3047			TCMID_H_2641			JUN ZU LAN		unknown																itcm_h_3047
3048	穗花罗汉松		TCMID_H_4852			SUI HUA LUO HAN SONG	Podocarpus spicatus	Plant medicine	罗汉松科	Podocarpaceae														itcm_h_3048
3049	尖灯芯草		TCMID_H_5254			JIAN DENG XIN CAO	Juncus acutus	Plant medicine	灯心草科	Juncaceae														itcm_h_3049
3050	素馨花		TCMID_H_6754			SU XIN HUA	Jasminum grandiflorum	Plant medicine	木犀科	Oleaceae								疏肝解郁，行气止痛。	To soothe liver and resolve depression, move  qi  and relieve pain.			flower bud	Pain in stomach duct and rib-side due to liver  qi  depression, abdominal pain and diarrhea.	itcm_h_3050
3051	稀脉浮萍		TCMID_H_5079			XI MAI FU PING	Lemna perpusilla	Plant medicine	天南星科	Araceae														itcm_h_3051
3052	蜀侧金盏花		TCMID_H_6426			SHU CE JIN ZHAN HUA	Adonis sutchuenensis	Plant medicine	毛茛科	Ranunculaceae								清热解毒，燥湿，强心安神。	To clear heat and resolve toxin, dry damp, strengthen heart and calm.			whole herb	Swelling toxin of welling abscess and sore, red eyes with gall, vomiting and diarrhea, dysentery, palpitation and insomnia, epilepsy.	itcm_h_3052
3053	双色鸡蛋花		TCMID_H_994			SHUANG SE JI DAN HUA	Plumeria bicolor	Plant medicine	夹竹桃科	Apocynaceae														itcm_h_3053
3054			TCMID_H_4418			LAO SHI WEN SHU LAN	Crinum laurentii	Plant medicine	石蒜科	Amaryllidaceae														itcm_h_3054
3055	加拿大细辛		TCMID_H_1257			JIA NA DA XI XIN	Asarum canadense	Plant medicine	马兜铃科	Aristolochiaceae														itcm_h_3055
3056			TCMID_H_5468			ZAO CAO	Pulicaria wightiana	Plant medicine	菊科	Asteraceae														itcm_h_3056
3057	糙苏		TCMID_H_2679			CAO SU	Phlomis umbrosa	Plant medicine	唇形科	Lamiaceae								祛风化痰，祛湿除阻，祛痰解毒，消肿消肿。	To dispel wind and transform phlegm, disinhibit damp and eliminate impediment, dispel phlegm, resolve toxin, disperse swelling.			whole herb with root	Common cold, cough and abundant phlegm, wind-damp impediment pain, knocks and falls, swelling and toxin of sore and welling abscess.	itcm_h_3057
3058			TCMID_H_7212			MU TI CENG KONG JUN.	Fomes fomentarius	unknown										散瘀、化瘀、抗癌。	To disperse accumulation, transform stasis, anticancer.			sporocarp	Food accumulation, carcinoma of esophagus, carcinoma of stomach, ovarian carcinoma.	itcm_h_3058
3059	云雾罗汉松		TCMID_H_7825			YUN WU LUO HAN SONG	Podocarpus nubigenus	Plant medicine	罗汉松科	Podocarpaceae														itcm_h_3059
3060			TCMID_H_5261			XIANG NING MENG	Citrus bergamia	Plant medicine	芸香科	Rutaceae														itcm_h_3060
3061			TCMID_H_7439			JU GUO RONG	Ficus racemosa	Plant medicine	桑科	Moraceae														itcm_h_3061
3062	河岸泽兰		TCMID_H_4572			HE AN ZE LAN	Eupatorium riparium	Plant medicine	菊科	Asteraceae														itcm_h_3062
3063	朝鲜白头翁		TCMID_H_6586			CHAO XIAN BAI TOU WENG	Pulsatilla cernua	Plant medicine	毛茛科	Ranunculaceae								详见 Pulsatilla chinensis .	See  Pulsatilla chinensis .			root	See  Pulsatilla chinensis.	itcm_h_3063
3064	重瓣萱草		TCMID_H_5164			CHONG BAN XUAN CAO	Hemerocallis fulva var. kwanso	Plant medicine	阿福花科	Asphodelaceae														itcm_h_3064
3065	鸡蛋参		TCMID_H_6006			JI DAN SHEN	Codonopsis convolvulacea	Plant medicine	桔梗科	Campanulaceae								益气养血，润肺生津。	To supplement  qi and nourish blood, moisten lung and engender liquid.			root	Blood vaculty, spontaneous sweating, scant breast milk, lung vacuity cough, neurasthenia, mounting  qi .	itcm_h_3065
3066	响叶杨		TCMID_H_4435			XIANG YE YANG	Populus adenopoda	Plant medicine	杨柳科	Salicaceae								祛风止痛，活血通络。	To dispel wind and relieve pain, quicken blood and free network vessels.			root cortex, bark or leaf	Wind-damp impediment pain, paralysis in limbs, decayed toothache, static blood pain due to injury.	itcm_h_3066
3067	凤瓜		TCMID_H_1334			FENG GUA	Gymnopetalum integrifolium	Plant medicine	葫芦科	Cucurbitaceae														itcm_h_3067
3068	多雄蕊商陆		TCMID_H_6576			DUO XIONG RUI SHANG LU	Phytolacca polyandra	Plant medicine	商陆科	Phytolaccaceae														itcm_h_3068
3069			TCMID_H_1581			HEI KUN BU	Ecklonia kurome	unknown										详见 Laminaria japonica.	See  Laminaria japonica.			dried thallus	See Laminaria japonica.	itcm_h_3069
3070			TCMID_H_8179			SANG HUANG	Phellinus igniarius	unknown										止血、活血、化大黄、止泻。	To stanch bleeding, quicken blood, transform rheum, check diarrhea.			sporocarp	Flooding, blood strangury, prolapse of rectum with bleeding, vaginal discharge, amenorrhea.	itcm_h_3070
3071			TCMID_H_3054			XIAO YE MAI MA TENG	Gnetum parvifolium [Syn. Gnetum indicum ]	Plant medicine	买麻藤科	Gnetaceae								祛风除湿，止血化瘀，止咳化痰。	To dispel wind and eliminate damp, stanch bleeding and dissipate stasis, relieve cough and transform phlegm.			stem, leaf or root	Wind-damp impediment pain, lumbago, crane’s knee wind, knocks and falls, ulcerative bleeding, chronic trachitis.	itcm_h_3071
3072			TCMID_H_4579			JIAN ZHUANG CHANG CHUN HUA	Catharanthus lanceus	Plant medicine	夹竹桃科	Apocynaceae														itcm_h_3072
